Timestamp,Survey,Job Title,Gender,City,Gross Salary,Currency,Day Rate,Years of XP,Benefits,What is your employment status?
19/02/2019,FR,COMMUNITY MANAGER,F,Paris,"24,000 €",EUR, ,<1,"Mutuelle, 50% transport, carte resto",CDD - studio indé
04/11/2019,FR,COMMUNITY MANAGER,H,Paris,"26,000 €",EUR,,4,"Mutuelle, 50% transport, 50% carte resto, 17 jours TT / trimestre",CDD
18/02/2019,FR,COMMUNITY MANAGER,H,PARIS,"25,000 €",EUR,,2,"Tickets restau, Remote possible, mutuelle",
18/02/2019,FR,COMMUNITY MANAGER,H,Paris,"28,000 €",EUR,,4,Tickets Restos (10x20) + Télétravail possible (raisonnable) + Horaires flexibles + Salle de repos avec consoles et jeux achetés par la boîte + Soirées jeux/films entre collègues + Des gâteaux !,
21/02/2019,FR,COMMUNITY MANAGER,F,Paris,"38,000 €",EUR,,4,Tickets resto + 50% transports + mutuelle + CE + Prime,CDD - Cadre
21/02/2019,FR,COMMUNITY MANAGER,F,Province,"25,920 €",EUR,,2,"Tickets resto, mutuelle",CDI
12/11/2020,FR,COMMUNITY MANAGER,F,Lille,"21,600 €",EUR,,2,"Ticket resto, 50% transports, mutuelle, CE, prime vacances, prime de participation, chèque cadeau ",CDI - 35h
18/02/2019,FR,COMMUNITY MANAGER (LEAD),H,Paris,"36,000 €",EUR,,3,"Tickets restaurants, divers avantages liées à une grosse entreprise (jeux gratuits, CE, etc.) ","Bonus sur objectif compris dans le salaire, intéressement/participation en plus (généralement ~un mois de salaire)"
18/02/2019,FR,COMMUNITY MANAGER (SENIOR),H,Paris,"35,000 €",EUR,,8,"50% transports, mutuelle, RTT, 13è mois",42 heures hebdo payées 35
18/02/2019,FR,COMMUNITY MANAGER (SENIOR),F,Province,"55,000 €",EUR,,9,"Tickets resto, mutuelle, intéressement, participation, remote possible, avantages divers (CE, reduction loisirs, jeux gratuits), 1 RTT par mois,","Bonus sur performance inclus, salariée en CDI"
25/02/2019,FR,CONCEPT ARTIST,F,Lyon,"36,000 €",EUR,,2,Liberté,Freelance (1 équivalent temps plein + contrats autres)
19/02/2019,FR,CONCEPT ARTIST,F,Paris,"30,600 €",EUR,,5,"Transport 50%, mutuelle 50%",CDI - 35h
18/02/2019,FR,CONCEPT ARTIST / DA,H,Montpellier,"48,000 €",EUR,,8,"mutuelle, rien d’autre",
05/08/2020,FR,CONCEPT ARTIST / DA,H,Paris,,EUR,300~400€,10,"Travail à domicile, horaires flexibles",Freelance
18/02/2019,FR,CONCEPT ARTIST / DA,H,Toulouse,"80,000 €",EUR,~500€,10,"que dalle, statut freelance","frais supplémentaires : atelier, matos, etc, freelance life"
18/02/2019,FR,CONCEPT ARTIST FREELANCE,H,Montpellier,"65,000 €",EUR,de 300€ à 500€,8,liberté,
19/02/2019,FR,CONCEPT ARTIST FREELANCE,H,Paris,"42,000 €",EUR,~300-500 € pour les projets courts,3,,
18/02/2019,FR,CONTENT MANAGER,H,Montpellier,"27,000 €",EUR,,2,Tickets restau,CDI
18/02/2019,FR,COURS GD / PRODUCING,H,Montpellier,,EUR,440 €,6,Freelance,(E art Sup)
18/02/2019,FR,DATA ANALYST,H,Paris,"42,000 €",EUR,,2,"Tickets Restau, Titre de transport, Mutuelle, télétravail possible","prime annuelle comprise, CDI"
06/08/2020,FR,DATA MANAGER,H,Montpellier,"32,500 €",EUR,,4,"Ticket resto, mutuelle, 50% transport, jeux gratuits, ce",CDI 37H
19/02/2019,FR,DATA MANAGER,H,Paris,"41,000 €",EUR,,9,"Tickets Resto, Heres Supp, Participation, jeux gratuits",CDI
26/03/2019,FR,DATA MANAGER JUNIOR,H,Paris,"35,000 €",EUR,,1.5,"Ticket resto, mutuelle, 50% transport, jeux gratuits, ce",CDD 37H
21/02/2019,FR,DESIGN DIRECTOR,H,Montpellier,"46,000 €",EUR,,12,"Tickets restos, mutuelle, CE, actions",
23/09/2020,FR,DESIGNER TECHNIQUE,H,Montpellier,"32,000 €",EUR,,1,"Ticket resto, 50% transports, mutuelle, CE, prime vacances, prime de participation",CDD (6 mois) - 37.5h
04/03/2019,FR,DEV TESTEUR,H,Lyon,"20,400 €",EUR,,1,Rien de plus que ceux des obligations légales.,"CDD 37,5h (1 RTT par mois)"
18/02/2019,FR,DEV TOOLS,H,paris,"30,000 €",EUR,,1,des gâteaux et du café,
18/02/2019,FR,DÉVELOPPEUR,H,Paris,"24,000 €",EUR,,1.5,"Tickets resto, 50% transports, mutuelle, jeux gratuits","CDI 35h - NB mais je présente H pour l'instant, je mets H pour les stats"
18/02/2019,FR,DÉVELOPPEUR,H,Paris,"39,000 €",EUR,,4,"50% transport, mutuelle, 1 RTT / mois",CDI | Serious Game
31/05/2020,FR,DÉVELOPPEUR,H,Paris,"40,000 €",EUR,,3,"Mutuelle,RTT (1/mois), Primes a la sortie du jeu, télétravaille",CDD - 35h
20/02/2019,FR,DÉVELOPPEUR,H,Paris,"50,000 €",EUR,,10,"bonne ambiance, primes (en sus du brut), TR/transports 50%, jours de repos (forfait jour 218j), possiblité télétravail 1j","CDI, statut cadre"
