Timestamp,Survey,Job Title,What is your employment status?,City,Gross Salary,Currency,What percentage salary increase did you receive in July 2020?,Additional Comments,What was your most recent performance rating?,Sector
7/31/2020 15:56:27,BL,Test Analyst,Full Time Employee,Irvine,$23.37\hr,USD,1.30%,,,AAA
7/31/2020 16:00:04,BL,Senior Technical Artist I,Full Time Employee,Irvine,"125,000",USD,,,Successful,AAA
7/31/2020 16:00:48,BL,Assistant Digital Marketing Manager,Contractor,Irvine,$27/hr,USD,0,,,AAA
7/31/2020 16:01:58,BL,Senior Test Analyst II,Full Time Employee,Irvine,"66,019",USD,10,,,AAA
7/31/2020 16:03:10,BL,Software Engineer,Full Time Employee,Irvine,"115,000",USD,,new hire,,AAA
7/31/2020 16:07:28,BL,Team Manager,Full Time Employee,Cork,"54,000 euro",EUR,3,"equivalent is 63,500 in USD",High,AAA
7/31/2020 16:10:13,BL,Game Designer,Full Time Employee,Irvine,102000,USD,2,,Successful,AAA
7/31/2020 16:12:56,BL,Software Engineer,Full Time Employee,Irvine,121000,USD,0,New employee not eligible for increase this year,,AAA
7/31/2020 16:14:29,BL,3d Artist(character),Full Time Employee,Irvine,82000,USD,2,,Successful,AAA
7/31/2020 16:14:35,BL,Software Engineer,Full Time Employee,Irvine,"120,000",USD,,new hire 2020,,AAA
7/31/2020 16:15:14,BL,Test analyst,Full Time Employee,Irvine,26.65 hr,USD,2.5,,High,AAA
7/31/2020 16:15:33,BL,Technical Test Analyst,Full Time Employee,Irvine,61027,USD,3.5,,,AAA
7/31/2020 16:17:44,BL,Senior Test Analyst,Full Time Employee,Irvine,"58,000",USD,1.5,,Successful,AAA
7/31/2020 16:19:30,BL,Senior Test Analyst II,Full Time Employee,Irvine,~$33.00,USD,12,,,AAA
7/31/2020 16:20:38,BL,FX Artist,Contractor,Irvine,"74,100",USD,,New Hire,,AAA
7/31/2020 16:22:04,BL,Associate Site Reliability Engineer,Full Time Employee,Irvine,"$112,195",USD,2,,,AAA
7/31/2020 16:24:35,BL,Senior Producer I,Full Time Employee,Irvine,"120,000",USD,3.5,,High,AAA
7/31/2020 16:27:52,BL,Software Engineer,Full Time Employee,Irvine,114400,USD,4,,High,AAA
7/31/2020 16:28:17,BL,Program Manager,Full Time Employee,Irvine,"$82,971",USD,3,,High,AAA
7/31/2020 16:29:46,BL,Senior Artist I,Full Time Employee,Irvine,"106,000",USD,2.5,,Successful,AAA
